Shawshank Redemption, The	202	87	24	2	2	317
Pulp Fiction	167	89	34	9	8	307
Matrix, The	150	90	24	5	9	278
Star Wars: Episode IV - A New Hope	128	92	19	10	2	251
Schindler's List	128	60	20	5	7	220
Fight Club	130	66	13	6	3	218
Star Wars: Episode V - The Empire Strikes Back	108	72	24	6	1	211
Usual Suspects, The	113	61	25	3	2	204
Lord of the Rings: The Fellowship of the Ring, The	100	68	17	10	3	198
Godfather, The	114	51	17	9	1	192
Memento	83	57	10	5	4	159
Dark Knight, The	79	58	9	3	0	149
Princess Bride, The	75	48	16	3	0	142
Godfather: Part II, The	68	46	12	1	2	129
Departed, The	61	37	8	0	1	107
Apocalypse Now	54	37	13	3	0	107
Casablanca	54	33	10	1	2	100
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	56	28	10	2	1	97
Snatch	47	33	11	1	1	93
Life Is Beautiful (La Vita è bella)	49	24	8	4	3	88
Rear Window	45	30	8	0	1	84
Shutter Island	34	22	8	1	2	67
Chinatown	30	24	2	3	0	59
Pianist, The	24	16	4	1	1	46
Lawrence of Arabia	25	14	4	2	0	45
Bridge on the River Kwai, The	23	14	5	1	2	45
Boondock Saints, The	25	15	3	0	0	43
Intouchables	21	9	4	2	1	37
Patton	18	8	5	0	2	33
Hoop Dreams	15	9	5	0	0	29
Philadelphia Story, The	15	11	2	1	0	29
Ex Machina	16	6	3	1	2	28
There Will Be Blood	15	9	3	1	0	28
Sunset Blvd. (a.k.a. Sunset Boulevard)	14	11	2	0	0	27
Wallace & Gromit: The Best of Aardman Animation	14	8	2	1	2	27
Harold and Maude	14	9	3	0	0	26
Logan	13	10	2	0	0	25
On the Waterfront	13	8	2	0	1	24
Third Man, The	14	6	3	0	1	24
Nausicaä of the Valley of the Wind (Kaze no tani no Naushika)	12	7	3	0	1	23
Thor: Ragnarok	11	5	3	0	1	20
Streetcar Named Desire, A	13	5	2	0	0	20
Spotlight	11	6	2	0	0	19
Hustler, The	11	5	2	0	0	18
Once Upon a Time in the West (C'era una volta il West)	11	5	2	0	0	18
Touch of Evil	9	6	2	0	0	17
Three Colors: Red (Trois couleurs: Rouge)	10	4	1	0	1	16
Prisoners	9	3	3	1	0	16
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette)	10	3	2	0	1	16
Dead Man	8	5	1	0	1	15
In the Mood For Love (Fa yeung nin wa)	8	4	2	0	0	14
Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The	7	6	0	0	0	13
Avengers: Infinity War - Part I	7	3	1	2	0	13
Yojimbo	8	3	1	0	1	13
Paths of Glory	8	4	0	0	0	12
Celebration, The (Festen)	9	2	1	0	0	12
Inside Job	7	4	0	1	0	12
Persuasion	7	3	1	0	0	11
The Artist	7	2	1	0	1	11
Hedwig and the Angry Inch	7	2	1	1	0	11
Solaris (Solyaris)	6	3	1	1	0	11
Guess Who's Coming to Dinner	8	2	1	0	0	11
Secrets & Lies	7	4	0	0	0	11
All Quiet on the Western Front	6	4	0	0	0	10
Wild Tales	6	3	1	0	0	10
Louis C.K.: Live at the Beacon Theater	7	2	0	0	1	10
Dead Alive (Braindead)	6	2	1	0	1	10
Witness for the Prosecution	5	4	0	0	0	9
Louis C.K.: Hilarious	5	3	0	0	1	9
Baby Driver	6	2	1	0	0	9
FLCL	5	3	1	0	0	9
Gladiator	6	2	1	0	0	9
Love and Death	5	2	2	0	0	9
You Can Count on Me	5	1	3	0	0	9
The Raid: Redemption	5	3	1	0	0	9
Five Easy Pieces	5	3	0	0	0	8
Three Billboards Outside Ebbing, Missouri	8	0	0	0	0	8
Angels and Insects	4	0	2	0	1	7
Louis C.K.: Shameless	4	2	0	0	1	7
Planet Earth	4	1	2	0	0	7
Band of Brothers	4	2	1	0	0	7
Kolya (Kolja)	4	3	0	0	0	7
Gallipoli	5	1	1	0	0	7
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro)	4	3	0	0	0	7
Verdict, The	4	2	1	0	0	7
Lifeboat	4	2	1	0	0	7
Day of the Doctor, The	5	2	0	0	0	7
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto)	4	2	0	0	0	6
Strada, La	4	2	0	0	0	6
Burnt by the Sun (Utomlyonnye solntsem)	4	0	1	0	1	6
Wings of the Dove, The	4	1	1	0	0	6
Man Bites Dog (C'est arrivé près de chez vous)	4	2	0	0	0	6
Memories of Murder (Salinui chueok)	4	1	0	0	0	5
Love Me If You Dare (Jeux d'enfants)	3	0	2	0	0	5
Best Offer, The (Migliore offerta, La)	3	1	1	0	0	5
Jules and Jim (Jules et Jim)	3	2	0	0	0	5
Perfect Blue	3	1	1	0	0	5
Man Who Shot Liberty Valance, The	3	2	0	0	0	5
Last Tango in Paris (Ultimo tango a Parigi)	3	2	0	0	0	5
Yi Yi	3	2	0	0	0	5
Palm Beach Story, The	3	1	1	0	0	5
Trial, The (Procès, Le)	5	0	0	0	0	5
Babette's Feast (Babettes gæstebud)	3	2	0	0	0	5
Departures (Okuribito)	3	1	1	0	0	5
Jiro Dreams of Sushi	3	1	1	0	0	5
Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le)	3	2	0	0	0	5
Day & Night	3	1	1	0	0	5
Spanish Apartment, The (L'auberge espagnole)	3	1	1	0	0	5
Planet Earth II	3	1	1	0	0	5
Paris Is Burning	3	2	0	0	0	5
Captain Fantastic	5	0	0	0	0	5
Voices from the List	3	1	1	0	0	5
7th Voyage of Sinbad, The	3	2	0	0	0	5
Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni)	3	2	0	0	0	5
Battle of Algiers, The (La battaglia di Algeri)	4	0	1	0	0	5
No Direction Home: Bob Dylan	3	1	0	0	0	4
Black Mirror: White Christmas	3	1	0	0	0	4
Adam's Rib	3	1	0	0	0	4
Woman in the Dunes (Suna no onna)	3	1	0	0	0	4
Dune	3	0	1	0	0	4
Sanjuro (Tsubaki Sanjûrô)	3	1	0	0	0	4
Autumn Sonata (Höstsonaten)	3	1	0	0	0	4
Man Who Planted Trees, The (Homme qui plantait des arbres, L')	3	1	0	0	0	4
Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage)	4	0	0	0	0	4
Tekkonkinkreet (Tekkon kinkurîto)	3	1	0	0	0	4
Funny Games U.S.	3	1	0	0	0	4
Partly Cloudy	3	1	0	0	0	4
Temple Grandin	3	1	0	0	0	4
Lincoln	3	1	0	0	0	4
Louis C.K.: Live at The Comedy Store	3	0	1	0	0	4
Hunt for the Wilderpeople	3	1	0	0	0	4
Chungking Express (Chung Hing sam lam)	3	0	1	0	0	4
