fiveStarMovies::movieID	fiveStarMovies::avgRating	oldestFiveStars::movieID	oldestFiveStars::title	oldestFiveStars::year	oldestFiveStars::genre
8511	4.5	8511	Immigrant, The	1917	(Comedy)
3310	4.1	3310	Kid, The	1921	(Comedy,Drama)
71999	4.5	71999	Aelita: The Queen of Mars (Aelita)	1924	(Action,Adventure,Drama,Fantasy,Romance,Sci-Fi,Thriller)
3629	4.071428571428571	3629	Gold Rush, The	1925	(Adventure,Comedy,Romance)
44931	4.5	44931	Secrets of a Soul (Geheimnisse einer Seele)	1926	(Drama)
25769	4.5	25769	Steamboat Bill, Jr.	1928	(Comedy,Romance)
3306	4.125	3306	Circus, The	1928	(Comedy)
25771	4.5	25771	Andalusian Dog, An (Chien andalou, Un)	1929	(Fantasy)
7706	4.125	7706	Animal Crackers	1930	(Comedy,Musical)
1927	4.35	1927	All Quiet on the Western Front	1930	(Action,Drama,War)
7056	4.25	7056	Public Enemy, The	1931	(Action,Crime,Drama)
84512	5.0	84512	Girls About Town	1931	(Comedy)
48649	4.5	48649	Chapayev	1934	(Drama,War)
4278	4.166666666666667	4278	Triumph of the Will (Triumph des Willens)	1934	(Documentary)
25805	4.5	25805	Atalante, L'	1934	(Comedy,Drama,Romance)
905	4.321428571428571	905	It Happened One Night	1934	(Comedy,Romance)
3086	5.0	3086	Babes in Toyland	1934	(Children,Comedy,Fantasy,Musical)
67888	4.5	67888	Man on the Flying Trapeze	1935	(Comedy)
1931	4.166666666666667	1931	Mutiny on the Bounty	1935	(Adventure,Drama)
965	4.045454545454546	965	39 Steps, The	1935	(Drama,Mystery,Thriller)
945	4.071428571428571	945	Top Hat	1935	(Comedy,Musical,Romance)
7132	4.111111111111111	7132	Night at the Opera, A	1935	(Comedy,Musical,Romance)
6254	4.75	6254	Awful Truth, The	1937	(Comedy,Romance)
1066	4.5	1066	Shall We Dance	1937	(Comedy,Musical,Romance)
6515	4.5	6515	You Only Live Once	1937	(Crime,Film-Noir)
25841	4.166666666666667	25841	Stage Door	1937	(Drama)
954	4.083333333333333	954	Mr. Smith Goes to Washington	1939	(Drama)
951	4.392857142857143	951	His Girl Friday	1940	(Comedy,Romance)
928	4.166666666666667	928	Rebecca	1940	(Drama,Mystery,Romance,Thriller)
898	4.310344827586207	898	Philadelphia Story, The	1940	(Comedy,Drama,Romance)
3095	4.111111111111111	3095	Grapes of Wrath, The	1940	(Drama)
47736	5.0	47736	Chump at Oxford, A	1940	(Comedy)
83969	5.0	83969	Down Argentine Way	1940	(Comedy,Drama,Romance)
1281	4.133333333333334	1281	Great Dictator, The	1940	(Comedy,Drama,War)
913	4.170454545454546	913	Maltese Falcon, The	1941	(Film-Noir,Mystery)
7216	4.166666666666667	7216	High Sierra	1941	(Crime,Drama,Film-Noir,Thriller)
923	4.043478260869565	923	Citizen Kane	1941	(Drama,Mystery)
912	4.24	912	Casablanca	1942	(Drama,Romance)
25887	5.0	25887	Tales of Manhattan	1942	(Comedy,Drama)
2937	4.1	2937	Palm Beach Story, The	1942	(Comedy)
2203	4.142857142857143	2203	Shadow of a Doubt	1943	(Crime,Drama,Thriller)
7333	4.25	7333	Corbeau, Le (Raven, The)	1943	(Crime,Drama,Thriller)
7218	4.5	7218	Ox-Bow Incident, The	1943	(Drama,Western)
942	4.333333333333333	942	Laura	1944	(Crime,Film-Noir,Mystery)
25906	5.0	25906	Mr. Skeffington	1944	(Drama,Romance)
6983	5.0	6983	Jane Eyre	1944	(Drama,Romance)
3435	4.323529411764706	3435	Double Indemnity	1944	(Crime,Drama,Film-Noir)
918	4.1	918	Meet Me in St. Louis	1944	(Musical)
2202	4.357142857142857	2202	Lifeboat	1944	(Drama,War)
906	4.142857142857143	906	Gaslight	1944	(Drama,Thriller)
1337	4.5	1337	Body Snatcher, The	1945	(Drama,Horror,Thriller)
930	4.25	930	Notorious	1946	(Film-Noir,Romance,Thriller)
3792	5.0	3792	Duel in the Sun	1946	(Drama,Romance,Western)
1284	4.142857142857143	1284	Big Sleep, The	1946	(Crime,Film-Noir,Mystery)
1939	4.0625	1939	Best Years of Our Lives, The	1946	(Drama,War)
953	4.0344827586206895	953	It's a Wonderful Life	1946	(Children,Drama,Fantasy,Romance)
2398	4.0588235294117645	2398	Miracle on 34th Street	1947	(Comedy,Drama)
2066	4.125	2066	Out of the Past	1947	(Film-Noir)
84246	4.5	84246	It Happened on Fifth Avenue	1947	(Comedy,Romance)
3334	4.2	3334	Key Largo	1948	(Crime,Drama,Film-Noir,Thriller)
3089	4.125	3089	Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette)	1948	(Drama)
25947	5.0	25947	Unfaithfully Yours	1948	(Comedy)
7121	4.75	7121	Adam's Rib	1949	(Comedy,Romance)
1942	4.25	1942	All the King's Men	1949	(Drama)
7212	4.25	7212	I Was a Male War Bride	1949	(Comedy,Romance)
4338	4.5	4338	Twelve O'Clock High	1949	(Drama,War)
1212	4.229166666666667	1212	Third Man, The	1949	(Film-Noir,Mystery,Thriller)
3341	4.285714285714286	3341	Born Yesterday	1950	(Comedy)
922	4.333333333333333	922	Sunset Blvd. (a.k.a. Sunset Boulevard)	1950	(Drama,Film-Noir,Romance)
926	4.229166666666667	926	All About Eve	1950	(Drama)
1104	4.475	1104	Streetcar Named Desire, A	1951	(Drama)
4813	5.0	4813	When Worlds Collide	1951	(Sci-Fi)
3475	4.5	3475	Place in the Sun, A	1951	(Drama,Romance)
3315	4.5	3315	Happy Go Lovely	1951	(Musical)
5603	4.5	5603	Lavender Hill Mob, The	1951	(Comedy,Crime)
5470	4.333333333333333	5470	The Importance of Being Earnest	1952	(Comedy,Romance)
1283	4.2105263157894735	1283	High Noon	1952	(Drama,Western)
6611	5.0	6611	Umberto D.	1952	(Drama)
899	4.074468085106383	899	Singin' in the Rain	1952	(Comedy,Musical,Romance)
4357	4.5	4357	How to Marry a Millionaire	1953	(Comedy,Drama,Romance)
916	4.0576923076923075	916	Roman Holiday	1953	(Comedy,Drama,Romance)
1086	4.1	1086	Dial M for Murder	1954	(Crime,Mystery,Thriller)
1945	4.1875	1945	On the Waterfront	1954	(Crime,Drama)
62208	4.5	62208	Sound of the Mountain (Thunder of the Mountain, The) (Yama no oto)	1954	(Drama)
2019	4.1875	2019	Seven Samurai (Shichinin no samurai)	1954	(Action,Adventure,Drama)
904	4.261904761904762	904	Rear Window	1954	(Mystery,Thriller)
3675	4.1875	3675	White Christmas	1954	(Comedy,Musical,Romance)
7234	4.25	7234	Strada, La	1954	(Drama)
4419	4.25	4419	All That Heaven Allows	1955	(Drama,Romance)
668	4.25	668	Song of the Little Road (Pather Panchali)	1955	(Drama)
26003	4.5	26003	Night and Fog (Nuit et brouillard)	1955	(Crime,Documentary,War)
7614	4.5	7614	Oklahoma!	1955	(Musical,Romance,Western)
1103	4.1	1103	Rebel Without a Cause	1955	(Drama)
933	4.217391304347826	933	To Catch a Thief	1955	(Crime,Mystery,Romance,Thriller)
4298	4.75	4298	Rififi (Du rififi chez les hommes)	1955	(Crime,Film-Noir,Thriller)
3678	5.0	3678	Man with the Golden Arm, The	1955	(Drama)
32469	4.5	32469	We're No Angels	1955	(Comedy,Crime,Drama)
4433	4.25	4433	Written on the Wind	1956	(Drama)
2565	4.166666666666667	2565	King and I, The	1956	(Drama,Musical,Romance)
3365	4.071428571428571	3365	Searchers, The	1956	(Drama,Western)
4429	4.5	4429	Moby Dick	1956	(Drama)
2726	4.055555555555555	2726	Killing, The	1956	(Crime,Film-Noir)
1250	4.122222222222222	1250	Bridge on the River Kwai, The	1957	(Adventure,Drama,War)
5468	5.0	5468	20 Million Miles to Earth	1957	(Sci-Fi)
3096	5.0	3096	My Man Godfrey	1957	(Comedy)
5008	4.388888888888889	5008	Witness for the Prosecution	1957	(Drama,Mystery,Thriller)
1237	4.222222222222222	1237	Seventh Seal, The (Sjunde inseglet, Det)	1957	(Drama)
1203	4.149122807017544	1203	12 Angry Men	1957	(Drama)
1178	4.541666666666667	1178	Paths of Glory	1957	(Drama,War)
4432	4.125	4432	Sweet Smell of Success	1957	(Drama,Film-Noir)
3038	4.2	3038	Face in the Crowd, A	1957	(Drama)
2351	4.285714285714286	2351	Nights of Cabiria (Notti di Cabiria, Le)	1957	(Drama)
971	4.1	971	Cat on a Hot Tin Roof	1958	(Drama)
71302	4.5	71302	Attack of the 50 Foot Woman	1958	(Comedy,Sci-Fi)
7925	4.25	7925	Hidden Fortress, The (Kakushi-toride no san-akunin)	1958	(Action,Adventure)
903	4.025	903	Vertigo	1958	(Drama,Mystery,Romance,Thriller)
7940	4.5	7940	The Magician	1958	(Drama)
1248	4.264705882352941	1248	Touch of Evil	1958	(Crime,Film-Noir,Thriller)
3153	4.4	3153	7th Voyage of Sinbad, The	1958	(Action,Adventure,Fantasy)
26048	4.5	26048	Human Condition II, The (Ningen no joken II)	1959	(Drama,War)
3379	4.5	3379	On the Beach	1959	(Drama)
910	4.01	910	Some Like It Hot	1959	(Comedy,Crime)
8484	4.5	8484	Human Condition I, The (Ningen no joken I)	1959	(Drama,War)
908	4.184210526315789	908	North by Northwest	1959	(Action,Adventure,Mystery,Romance,Thriller)
4942	4.5	4942	Angry Red Planet, The	1959	(Sci-Fi)
670	4.75	670	World of Apu, The (Apur Sansar)	1959	(Drama)
1219	4.036144578313253	1219	Psycho	1960	(Crime,Horror)
3469	4.083333333333333	3469	Inherit the Wind	1960	(Drama)
26059	4.5	26059	When a Woman Ascends the Stairs (Onna ga kaidan wo agaru toki)	1960	(Drama)
3330	4.25	3330	Splendor in the Grass	1961	(Drama,Romance)
3468	4.333333333333333	3468	Hustler, The	1961	(Drama)
8738	5.0	8738	Woman Is a Woman, A (femme est une femme, Une)	1961	(Comedy,Drama,Musical,Romance)
3030	4.230769230769231	3030	Yojimbo	1961	(Action,Adventure)
33564	4.5	33564	Divorce - Italian Style (Divorzio all'italiana)	1961	(Comedy)
26073	5.0	26073	Human Condition III, The (Ningen no joken III)	1961	(Drama,War)
2732	4.5	2732	Jules and Jim (Jules et Jim)	1961	(Drama,Romance)
133716	4.5	133716	Bootleggers	1961	(Comedy,Crime)
7939	4.5	7939	Through a Glass Darkly (Såsom i en spegel)	1961	(Drama)
147196	5.0	147196	The Girls	1961	(Comedy,Romance)
1267	4.25	1267	Manchurian Candidate, The	1962	(Crime,Thriller,War)
26082	4.5	26082	Harakiri (Seppuku)	1962	(Drama)
26078	5.0	26078	Advise and Consent	1962	(Drama)
8477	4.5	8477	Jetée, La	1962	(Romance,Sci-Fi)
6460	4.9	6460	Trial, The (Procès, Le)	1962	(Drama)
4406	4.4	4406	Man Who Shot Liberty Valance, The	1962	(Crime,Drama,Western)
3546	4.5	3546	What Ever Happened to Baby Jane?	1962	(Drama,Horror,Thriller)
1204	4.3	1204	Lawrence of Arabia	1962	(Adventure,Drama,War)
1207	4.120689655172414	1207	To Kill a Mockingbird	1962	(Drama)
2905	4.25	2905	Sanjuro (Tsubaki Sanjûrô)	1962	(Action,Adventure,Drama)
121338	4.5	121338	Carry on Cabby	1963	(Adventure,Comedy,Romance)
96084	4.5	96084	Hands Over the City (Le mani sulla città)	1963	(Drama)
74342	4.5	74342	Captain Newman, M.D.	1963	(Comedy,Drama,War)
8724	4.25	8724	Leopard, The (Gattopardo, Il)	1963	(Drama,War)
1251	4.071428571428571	1251	8 1/2 (8½)	1963	(Drama,Fantasy)
1262	4.127906976744186	1262	Great Escape, The	1963	(Action,Adventure,Drama,War)
42556	5.0	42556	7 Faces of Dr. Lao	1964	(Fantasy,Mystery,Western)
199	4.125	199	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)	1964	(Drama,Musical,Romance)
750	4.268041237113402	750	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	(Comedy,War)
914	4.042857142857143	914	My Fair Lady	1964	(Comedy,Drama,Musical,Romance)
3224	4.75	3224	Woman in the Dunes (Suna no onna)	1964	(Drama)
95843	5.0	95843	Goodbye Charlie	1964	(Comedy,Fantasy,Romance)
26116	4.5	26116	Hush... Hush, Sweet Charlotte	1964	(Horror,Thriller)
26122	4.5	26122	Onibaba	1964	(Drama,Horror,War)
680	4.125	680	Alphaville (Alphaville, une étrange aventure de Lemmy Caution)	1965	(Drama,Mystery,Romance,Sci-Fi,Thriller)
4402	5.0	4402	Dr. Goldfoot and the Bikini Machine	1965	(Comedy)
3073	5.0	3073	Sandpiper, The	1965	(Drama,Romance)
174551	5.0	174551	Obsession	1965	(Comedy)
3075	4.166666666666667	3075	Repulsion	1965	(Drama,Horror)
26147	5.0	26147	Thousand Clowns, A	1965	(Comedy,Drama,Romance)
2067	4.142857142857143	2067	Doctor Zhivago	1965	(Drama,Romance,War)
5498	4.5	5498	Red Beard (Akahige)	1965	(Drama)
172793	5.0	172793	Vovka in the Kingdom of Far Far Away	1965	(Adventure,Animation,Children,Fantasy)
3681	4.151515151515151	3681	For a Few Dollars More (Per qualche dollaro in più)	1965	(Action,Drama,Thriller,Western)
3653	4.166666666666667	3653	Endless Summer, The	1966	(Documentary)
7184	4.5	7184	This Property is Condemned	1966	(Drama,Romance)
32387	4.25	32387	Sword of Doom, The (Dai-bosatsu tôge)	1966	(Action,Drama)
1949	4.333333333333333	1949	Man for All Seasons, A	1966	(Drama)
2132	4.142857142857143	2132	Who's Afraid of Virginia Woolf?	1966	(Drama)
7122	5.0	7122	King of Hearts	1966	(Comedy,Drama,War)
41828	4.5	41828	Don't Look Now: We're Being Shot At (La grande vadrouille)	1966	(Comedy,War)
2969	5.0	2969	Man and a Woman, A (Un homme et une femme)	1966	(Drama,Romance)
4708	4.5	4708	Marat/Sade	1966	(Drama,Musical)
1201	4.145833333333333	1201	Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)	1966	(Action,Adventure,Western)
26131	4.3	26131	Battle of Algiers, The (La battaglia di Algeri)	1966	(Drama,War)
1950	4.181818181818182	1950	In the Heat of the Night	1967	(Drama,Mystery)
3451	4.545454545454546	3451	Guess Who's Coming to Dinner	1967	(Drama)
1276	4.271929824561403	1276	Cool Hand Luke	1967	(Drama)
26169	5.0	26169	Branded to Kill (Koroshi no rakuin)	1967	(Action,Crime,Drama)
107412	4.5	107412	Kidnapping, Caucasian Style (Kavkazskaya plennitsa)	1967	(Comedy,Romance)
3296	4.071428571428571	3296	To Sir with Love	1967	(Drama)
1247	4.063291139240507	1247	Graduate, The	1967	(Comedy,Drama,Romance)
7888	4.25	7888	How to Succeed in Business Without Really Trying	1967	(Comedy,Musical)
142020	5.0	142020	Oscar	1967	(Comedy)
1084	4.071428571428571	1084	Bonnie and Clyde	1967	(Crime,Drama)
26183	4.25	26183	Asterix and Cleopatra (Astérix et Cléopâtre)	1968	(Action,Adventure,Animation,Children,Comedy)
3507	4.066666666666666	3507	Odd Couple, The	1968	(Comedy)
2160	4.171875	2160	Rosemary's Baby	1968	(Drama,Horror,Thriller)
1209	4.305555555555555	1209	Once Upon a Time in the West (C'era una volta il West)	1968	(Action,Drama,Western)
8405	4.5	8405	Hour of the Wolf (Vargtimmen)	1968	(Drama,Horror)
172825	4.5	172825	Adventures of Mowgli: The Kidnapping	1968	(Adventure,Animation,Children)
78620	4.5	78620	Scalphunters, The	1968	(Comedy,Western)
166183	5.0	166183	Junior and Karlson	1968	(Adventure,Animation,Children)
46855	4.5	46855	Army of Shadows (L'armée des ombres)	1969	(Action,Drama,Thriller,War)
163072	5.0	163072	Winnie Pooh	1969	(Animation,Children)
26150	4.5	26150	Andrei Rublev (Andrey Rublyov)	1969	(Drama,War)
131104	4.5	131104	The Brain	1969	(Comedy,Crime)
159811	5.0	159811	The Bremen Town Musicians	1969	(Animation,Drama,Fantasy)
175293	5.0	175293	Gena the Crocodile	1969	(Animation,Children)
3836	4.133333333333334	3836	Kelly's Heroes	1970	(Action,Comedy,War)
3201	4.5	3201	Five Easy Pieces	1970	(Drama)
2925	4.1	2925	Conformist, The (Conformista, Il)	1970	(Drama)
1272	4.121212121212121	1272	Patton	1970	(Drama,War)
172585	5.0	172585	Karlson Returns	1970	(Adventure,Animation,Children)
26225	4.5	26225	Claire's Knee (Genou de Claire, Le)	1970	(Comedy,Romance)
3037	4.145833333333333	3037	Little Big Man	1970	(Western)
2984	4.5	2984	On Any Sunday	1971	(Documentary)
160527	4.5	160527	Sympathy for the Underdog	1971	(Action,Crime,Drama)
163112	5.0	163112	Winnie the Pooh Goes Visiting	1971	(Animation)
8238	5.0	8238	Little Murders	1971	(Comedy,Crime)
3152	4.5	3152	Last Picture Show, The	1971	(Drama)
1419	4.25	1419	Walkabout	1971	(Adventure,Drama)
152105	4.5	152105	Dad's Army	1971	(Comedy)
141844	4.5	141844	12 Chairs	1971	(Adventure,Comedy)
2788	4.053571428571429	2788	Monty Python's And Now for Something Completely Different	1971	(Comedy)
32511	4.5	32511	Touch of Zen, A (Xia nu)	1971	(Action,Adventure)
1235	4.288461538461538	1235	Harold and Maude	1971	(Comedy,Drama,Romance)
1964	4.083333333333333	1964	Klute	1971	(Drama,Mystery)
172909	5.0	172909	Cheburashka	1971	(Animation)
136850	5.0	136850	Villain	1971	(Crime,Drama,Thriller)
3503	4.090909090909091	3503	Solaris (Solyaris)	1972	(Drama,Mystery,Sci-Fi)
26265	4.5	26265	Dr. Phibes Rises Again	1972	(Adventure,Comedy,Horror,Romance)
74727	4.75	74727	Gentlemen of Fortune (Dzhentlmeny udachi)	1972	(Comedy,Crime,Drama,Mystery)
5155	4.5	5155	Big Bird Cage, The	1972	(Action)
5120	4.166666666666667	5120	Sleuth	1972	(Comedy,Mystery,Thriller)
6533	4.5	6533	What's Up, Doc?	1972	(Comedy)
163386	5.0	163386	Winnie the Pooh and the Day of Concern	1972	(Animation)
128087	5.0	128087	Trinity and Sartana Are Coming	1972	(Comedy,Western)
4444	4.166666666666667	4444	Way of the Dragon, The (a.k.a. Return of the Dragon) (Meng long guo jiang)	1972	(Action,Crime)
3074	4.25	3074	Jeremiah Johnson	1972	(Western)
6666	4.3	6666	Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le)	1972	(Comedy,Drama,Fantasy)
858	4.2890625	858	Godfather, The	1972	(Crime,Drama)
7008	4.5	7008	Last Tango in Paris (Ultimo tango a Parigi)	1972	(Drama,Romance)
3741	4.090909090909091	3741	Badlands	1973	(Crime,Drama,Thriller)
84799	4.5	84799	Asphyx, The	1973	(Horror,Sci-Fi)
102666	4.5	102666	Ivan Vasilievich: Back to the Future (Ivan Vasilievich menyaet professiyu)	1973	(Adventure,Comedy)
8207	4.083333333333333	8207	Day of the Jackal, The	1973	(Crime,Thriller)
3655	4.25	3655	Blow-Out (La grande bouffe)	1973	(Drama)
7482	4.038461538461538	7482	Enter the Dragon	1973	(Action,Crime)
2511	4.666666666666667	2511	Long Goodbye, The	1973	(Crime,Film-Noir)
26326	4.5	26326	Holy Mountain, The (Montaña sagrada, La)	1973	(Drama)
2921	4.181818181818182	2921	High Plains Drifter	1973	(Western)
175387	5.0	175387	On the Trail of the Bremen Town Musicians	1973	(Adventure,Animation,Children)
107408	4.5	107408	Only Old Men Are Going to Battle (V boy idut odni stariki)	1973	(Comedy,Drama,War)
6051	4.166666666666667	6051	Harder They Come, The	1973	(Action,Crime,Drama)
3200	4.25	3200	Last Detail, The	1973	(Comedy,Drama)
1252	4.211864406779661	1252	Chinatown	1974	(Crime,Film-Noir,Mystery,Thriller)
4789	4.333333333333333	4789	Phantom of the Paradise	1974	(Comedy,Fantasy,Horror,Musical,Thriller)
7071	5.0	7071	Woman Under the Influence, A	1974	(Drama)
3384	4.5	3384	Taking of Pelham One Two Three, The	1974	(Action,Crime)
5088	5.0	5088	Going Places (Valseuses, Les)	1974	(Comedy,Crime,Drama)
8838	4.166666666666667	8838	Alice Doesn't Live Here Anymore	1974	(Drama,Romance)
6408	5.0	6408	Animals are Beautiful People	1974	(Comedy,Documentary)
3730	4.205882352941177	3730	Conversation, The	1974	(Drama,Mystery)
1221	4.25968992248062	1221	Godfather: Part II, The	1974	(Crime,Drama)
2239	4.666666666666667	2239	Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto)	1975	(Comedy,Drama)
7899	4.5	7899	Master of the Flying Guillotine (Du bi quan wang da po xue di zi)	1975	(Action)
3470	4.3	3470	Dersu Uzala	1975	(Adventure,Drama)
1136	4.161764705882353	1136	Monty Python and the Holy Grail	1975	(Adventure,Comedy,Fantasy)
126090	4.5	126090	Hedgehog in the Fog	1975	(Animation)
1193	4.203007518796992	1193	One Flew Over the Cuckoo's Nest	1975	(Drama)
26350	5.0	26350	Passenger, The (Professione: reporter)	1975	(Drama)
1387	4.0054945054945055	1387	Jaws	1975	(Action,Horror)
1303	4.029411764705882	1303	Man Who Would Be King, The	1975	(Adventure,Drama)
141836	4.5	141836	It Can't Be!	1975	(Comedy)
3814	4.222222222222222	3814	Love and Death	1975	(Comedy)
3415	4.166666666666667	3415	Mirror, The (Zerkalo)	1975	(Drama)
6184	4.25	6184	Man Who Fell to Earth, The	1976	(Drama,Sci-Fi)
111	4.105769230769231	111	Taxi Driver	1976	(Crime,Drama,Thriller)
141816	5.0	141816	12 Chairs	1976	(Adventure,Comedy)
6530	4.25	6530	Tenant, The (Locataire, Le)	1976	(Drama,Horror,Mystery,Thriller)
5490	5.0	5490	The Big Bus	1976	(Action,Comedy)
6787	4.018518518518518	6787	All the President's Men	1976	(Drama,Thriller)
26366	5.0	26366	Harlan County U.S.A.	1976	(Documentary)
26359	4.5	26359	1900 (Novecento)	1976	(Drama,War)
3473	5.0	3473	Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000)	1976	(Comedy)
3504	4.0227272727272725	3504	Network	1976	(Comedy,Drama)
3508	4.25	3508	Outlaw Josey Wales, The	1976	(Action,Adventure,Drama,Thriller,Western)
102338	4.5	102338	Shaolin Temple (Shao Lin si)	1976	(Action,Adventure,Drama)
495	5.0	495	In the Realm of the Senses (Ai no corrida)	1976	(Drama)
5965	4.166666666666667	5965	Duellists, The	1977	(Action,War)
6021	5.0	6021	American Friend, The (Amerikanische Freund, Der)	1977	(Crime,Drama,Mystery,Thriller)
175431	5.0	175431	Bobik Visiting Barbos	1977	(Animation,Comedy)
8261	4.166666666666667	8261	3 Women (Three Women)	1977	(Drama)
260	4.231075697211155	260	Star Wars: Episode IV - A New Hope	1977	(Action,Adventure,Sci-Fi)
5385	4.5	5385	Last Waltz, The	1978	(Documentary)
2924	4.05	2924	Drunken Master (Jui kuen)	1978	(Action,Comedy)
2138	4.05	2138	Watership Down	1978	(Adventure,Animation,Children,Drama,Fantasy)
2131	4.625	2131	Autumn Sonata (Höstsonaten)	1978	(Drama)
4441	4.166666666666667	4441	Game of Death	1978	(Action)
184245	5.0	184245	De platte jungle	1978	(Documentary)
86237	5.0	86237	Connections	1978	(Documentary)
141818	4.5	141818	Ordinary Miracle	1978	(Comedy,Drama,Fantasy,Romance)
3813	4.166666666666667	3813	Interiors	1978	(Drama)
151769	5.0	151769	Three from Prostokvashino	1978	(Animation)
4788	5.0	4788	Moscow Does Not Believe in Tears (Moskva slezam ne verit)	1979	(Drama,Romance)
147330	5.0	147330	Sherlock Holmes and Dr. Watson: Acquaintance	1979	(Crime)
31522	5.0	31522	Marriage of Maria Braun, The (Ehe der Maria Braun, Die)	1979	(Drama)
6665	4.5	6665	Dracula	1979	(Horror,Romance)
